categorias,direccion,nombre,precio,score
Very good,"8,366, reviews,Route Ranch Davy Crockett, 77174 Bailly-Romainvilliers France,8,366, reviews,Route Ranch Davy Crockett, 77174 Bailly-Romainvilliers France,Name/address in local language",Disney Davy Crockett Ranch,,4.0
Excellent,"941, reviews,Keizersgracht 384, 1016 GB Amsterdam The Netherlands,941, reviews,Keizersgracht 384, 1016 GB Amsterdam The Netherlands,Name/address in local language",The Dylan Amsterdam,,4.5
Excellent,"4,062, reviews,91, Hua Hin - Khao Takiap Road, Nong Kae, Hua Hin 77110 Thailand,4,062, reviews,91, Hua Hin - Khao Takiap Road, Nong Kae, Hua Hin 77110 Thailand,Name/address in local language",Hyatt Regency Hua Hin,,4.5
Excellent,"3,755, reviews,500 Brickell Key Drive, Miami, FL 33131,3,755, reviews,500 Brickell Key Drive, Miami, FL 33131","Mandarin Oriental, Miami",,4.5
Excellent,"29, reviews,Epar.Od. Poligirou - Neas Potideas, Nea Moudania 632 00 Greece,29, reviews,Epar.Od. Poligirou - Neas Potideas, Nea Moudania 632 00 Greece,Name/address in local language",Camping Ouzouni Beach,,4.5
Excellent,"2,510, reviews,5 de Mayo 61 Centro Historico, Mexico City 06000 Mexico,2,510, reviews,5 de Mayo 61 Centro Historico, Mexico City 06000 Mexico,Name/address in local language",Zócalo Central,,4.5
Very good,"6,406, reviews,Avenida Las Garzas S/N 30 Zona Hotelera Norte, Puerto Vallarta 48333 Mexico,6,406, reviews,Avenida Las Garzas S/N 30 Zona Hotelera Norte, Puerto Vallarta 48333 Mexico,Name/address in local language",Krystal Puerto Vallarta Hotel,,4.0
Excellent,"512, reviews,106 West St, Bar Harbor, Mount Desert Island, ME 04609-1856,512, reviews,106 West St, Bar Harbor, Mount Desert Island, ME 04609-1856",Sand Bar Cottage,,5.0
Very good,"1,481, reviews,Calle Liverpool 155 Zona Rosa, Mexico City 06600 Mexico,1,481, reviews,Calle Liverpool 155 Zona Rosa, Mexico City 06600 Mexico,Name/address in local language",NH Collection Mexico City Reforma,,4.0
Very good,"43, reviews,Murang’a-Makuyu Road Next to Maguna-andu Supermarket, Muranga 00600 Kenya,43, reviews,Murang’a-Makuyu Road Next to Maguna-andu Supermarket, Muranga 00600 Kenya",Hotel Nokras,,3.5
Excellent,"3,358, reviews,12 S Michigan Ave, Chicago, IL 60603-3300,3,358, reviews,12 S Michigan Ave, Chicago, IL 60603-3300",Chicago Athletic Association Hotel,,4.5
Very good,"37, reviews,Carretera Principal, Inoa, San Jose de las Matas 51000 Dominican Republic,37, reviews,Carretera Principal, Inoa, San Jose de las Matas 51000 Dominican Republic",Club Hacienda Campo Verde,,4.0
Excellent,"5,977, reviews,Jewel Paradise Cove Drive, Runaway Bay Jamaica,5,977, reviews,Jewel Paradise Cove Drive, Runaway Bay Jamaica",Jewel Paradise Cove Beach Resort & Spa,,4.5
Very good,"177, reviews,11386 W Lakeshore Dr, Brimley, MI 49715-9308,177, reviews,11386 W Lakeshore Dr, Brimley, MI 49715-9308",Bay Mills Resort & Casino,,3.5
Very good,"3,731, reviews,Little Bay Road, Philipsburg St Martin / St Maarten,3,731, reviews,Little Bay Road, Philipsburg St Martin / St Maarten",Divi Little Bay Beach Resort,,4.0
Very good,"2,384, reviews,940 Resort Dr, Roanoke, WV 26447-8469,2,384, reviews,940 Resort Dr, Roanoke, WV 26447-8469",Stonewall Resort,,4.0
Excellent,"531, reviews,Piazza Massimo d'Azeglio 3, 50121, Florence Italy,531, reviews,Piazza Massimo d'Azeglio 3, 50121, Florence Italy,Name/address in local language",Hotel Regency,,4.5
Very good,"1,562, reviews,Calle Isaac Albéniz 3 Urbaniz La Romana, 07160 Peguera, Calvia, Majorca Spain,1,562, reviews,Calle Isaac Albéniz 3 Urbaniz La Romana, 07160 Peguera, Calvia, Majorca Spain,Name/address in local language",Hotel Vibra Beverly Playa,,3.5
Very good,"79, reviews,Carr. Libre Rosarito-Ensenada Km.35.16, Rosarito 22710 Mexico,79, reviews,Carr. Libre Rosarito-Ensenada Km.35.16, Rosarito 22710 Mexico,Name/address in local language",Las Olas Resort & Spa,,3.5
Very good,"490, reviews,1-24-10 Shibuya, Shibuya 150-0002 Tokyo Prefecture,490, reviews,1-24-10 Shibuya, Shibuya 150-0002 Tokyo Prefecture,Name/address in local language",Shibuya Tokyu REI Hotel,,4.0
Excellent,"1,113, reviews,150 Dubose Home Ln, Chapel Hill, NC 27517-8944,1,113, reviews,150 Dubose Home Ln, Chapel Hill, NC 27517-8944",Rizzo Center,,5.0
Very good,"707, reviews,11228 Lone Eagle Drive, Bridgeton, Saint Louis, MO 63044,707, reviews,11228 Lone Eagle Drive, Bridgeton, Saint Louis, MO 63044","Crowne Plaza St. Louis Airport, an IHG Hotel",,3.5
Excellent,"2,540, reviews,Via Nastro Azzurro 20, 80063 Piano di Sorrento Italy,2,540, reviews,Via Nastro Azzurro 20, 80063 Piano di Sorrento Italy,Name/address in local language",Nastro Azzurro Resort,,4.5
Very good,"2,318, reviews,Ileribasi Mevkii 5. Parsel, Belek 07506 Türkiye,2,318, reviews,Ileribasi Mevkii 5. Parsel, Belek 07506 Türkiye,Name/address in local language",Pine Beach Belek,,4.0
Very good,"590, reviews,518 W 27th St, New York City, NY 10001-5506,590, reviews,518 W 27th St, New York City, NY 10001-5506",Selina Chelsea,,3.5
Very good,"618, reviews,14750 Conference Center Dr, Chantilly, VA 20151-3800,618, reviews,14750 Conference Center Dr, Chantilly, VA 20151-3800",Westfields Marriott Washington Dulles,,4.0
Very good,"308, reviews,1350 North 1st Street, San Jose, CA 95112,308, reviews,1350 North 1st Street, San Jose, CA 95112","Holiday Inn San Jose - Silicon Valley, an IHG Hotel",,3.5
Excellent,"2,249, reviews,815 E Route 66 Blvd, Tucumcari, NM 88401-3143,2,249, reviews,815 E Route 66 Blvd, Tucumcari, NM 88401-3143",Blue Swallow Motel,,5.0
Excellent,"1,649, reviews,Carretera Nacional 340 km 164, 29680, Estepona Spain,1,649, reviews,Carretera Nacional 340 km 164, 29680, Estepona Spain,Name/address in local language",Ikos Andalusia,,5.0
Very good,"569, reviews,34 E 32nd St., New York City, NY 10016,569, reviews,34 E 32nd St., New York City, NY 10016",HGU New York,,4.0
Excellent,"550, reviews,3793 NE Ocean Blvd, Jensen Beach, FL 34957-4303,550, reviews,3793 NE Ocean Blvd, Jensen Beach, FL 34957-4303",Hutchinson Shores Resort & Spa,,4.5
Average,"6, reviews,9456 Lake Shore Rd, Angola, NY 14006-9216,6, reviews,9456 Lake Shore Rd, Angola, NY 14006-9216",Point Breeze RV Resort,,3.0
Very good,"3,069, reviews,1 South Forest Beach Drive, Hilton Head, SC 29928,3,069, reviews,1 South Forest Beach Drive, Hilton Head, SC 29928",Beach House Resort,,4.0
Very good,"246, reviews,Camí del Racó, s/n, 43840 Salou Spain,246, reviews,Camí del Racó, s/n, 43840 Salou Spain,Name/address in local language",Hotel Best Sol d'Or,,4.0
Excellent,"2,136, reviews,11 Km Carretera Al Volcan Arenal, Arenal Volcano National Park, La Fortuna de San Carlos 21007 Costa Rica,2,136, reviews,11 Km Carretera Al Volcan Arenal, Arenal Volcano National Park, La Fortuna de San Carlos 21007 Costa Rica",Arenal Kioro Suites & Spa,,4.5
Very good,"17, reviews,1002 Adirondack Loj Rd Adirondak Loj, Lake Placid, NY 12946-4206,17, reviews,1002 Adirondack Loj Rd Adirondak Loj, Lake Placid, NY 12946-4206",Wilderness Campground at Heart Lake,,4.0
Very good,"51, reviews,64 avenue Marceau, 75008 Paris France,51, reviews,64 avenue Marceau, 75008 Paris France,Name/address in local language","InterContinental Paris - Champs-Elysées Etoile, an IHG Hotel",,4.0
Average,"36, reviews,Faliraki 85100 Greece,36, reviews,Faliraki 85100 Greece,Name/address in local language",Evita Mare Hotel,,3.0
Very good,"2,475, reviews,110 6th Ave N, Seattle, WA 98109-5002,2,475, reviews,110 6th Ave N, Seattle, WA 98109-5002",Hyatt Place Seattle/Downtown,,4.0
Very good,"6,219, reviews,Arni Magnussons Gade 2, Copenhagen 1577 Denmark,6,219, reviews,Arni Magnussons Gade 2, Copenhagen 1577 Denmark,Name/address in local language",Tivoli Hotel & Congress Center,,4.0
Excellent,"7,221, reviews,Pedraplén a Cayo Sta. María, 05200 Cuba,7,221, reviews,Pedraplén a Cayo Sta. María, 05200 Cuba",Royalton Cayo Santa Maria,,4.5
Very good,"1,188, reviews,820 West 7th Avenue, Anchorage, AK 99501,1,188, reviews,820 West 7th Avenue, Anchorage, AK 99501",Marriott Anchorage Downtown,,4.0
Excellent,"1,461, reviews,2115 13th St, Boulder, CO 80302-4801,1,461, reviews,2115 13th St, Boulder, CO 80302-4801",Hotel Boulderado,,4.5
Excellent,"10,049, reviews,Prolongacion Bonampak S/N, Punta Sam, Costa Mujeres 77400 Mexico,10,049, reviews,Prolongacion Bonampak S/N, Punta Sam, Costa Mujeres 77400 Mexico,Name/address in local language",Secrets Playa Mujeres Golf & Spa Resort,,4.5
Very good,"669, reviews,3100 Lakeside Dr, Santa Clara, CA 95054-2804,669, reviews,3100 Lakeside Dr, Santa Clara, CA 95054-2804",Hyatt Centric Santa Clara,,4.0
Very good,"2,513, reviews,Hersonissos, Crete 70014 Greece,2,513, reviews,Hersonissos, Crete 70014 Greece,Name/address in local language",Mediterraneo Hotel,,4.0
Excellent,"2,072, reviews,Kudawaskaduwa, Waskaduwa, Kalutara 12000 Sri Lanka,2,072, reviews,Kudawaskaduwa, Waskaduwa, Kalutara 12000 Sri Lanka",Turyaa Kalutara by Aitken Spence Hotels,,4.5
Excellent,"3,716, reviews,Avenue Bab Jdid, Marrakech 40040 Morocco,3,716, reviews,Avenue Bab Jdid, Marrakech 40040 Morocco",La Mamounia Marrakech,,4.5
Excellent,"191, reviews,25 Edwin H Land Blvd, Cambridge, MA 02141-2236,191, reviews,25 Edwin H Land Blvd, Cambridge, MA 02141-2236",Kimpton Marlowe Hotel,,4.5
Excellent,"9,032, reviews,2525 Kaanapali Parkway, Lahaina, Maui, HI 96761-1987,9,032, reviews,2525 Kaanapali Parkway, Lahaina, Maui, HI 96761-1987",OUTRIGGER Ka'anapali Beach Resort,,4.5
Very good,"712, reviews,618 US Highway 1 & 9 South, Newark, NJ 07114,712, reviews,618 US Highway 1 & 9 South, Newark, NJ 07114",Fairfield Inn & Suites by Marriott Newark Liberty International Airport,,3.5
Very good,"2,455, reviews,Avenida La Gaviota, 1 Playa La Arena, 38686 Playa de la Arena, Guia de Isora, Tenerife Spain,2,455, reviews,Avenida La Gaviota, 1 Playa La Arena, 38686 Playa de la Arena, Guia de Isora, Tenerife Spain,Name/address in local language",Allegro Isora,,4.0
Very good,"304, reviews,Byblos Riviera, Byblos Lebanon,304, reviews,Byblos Riviera, Byblos Lebanon",EddeSands Hotel & Wellness Resort,,3.5
Very good,"1,194, reviews,Rua Das Palmeiras Lote 5 Quinta Da Marinha, Cascais 2750-005 Portugal,1,194, reviews,Rua Das Palmeiras Lote 5 Quinta Da Marinha, Cascais 2750-005 Portugal,Name/address in local language",Sheraton Cascais Resort,,4.0
Excellent,"5,767, reviews,Pelai 3, 08001 Barcelona Spain,5,767, reviews,Pelai 3, 08001 Barcelona Spain,Name/address in local language",Hotel Jazz,,4.5
Very good,"2,315, reviews,2330 Kuhio Avenue, Honolulu, Oahu, HI 96815,2,315, reviews,2330 Kuhio Avenue, Honolulu, Oahu, HI 96815",Hilton Garden Inn Waikiki Beach,,4.0
Excellent,"1,616, reviews,Jumeirah Beach Road, Jumeirah 2 Jumeirah 2, Dubai 128777 United Arab Emirates,1,616, reviews,Jumeirah Beach Road, Jumeirah 2 Jumeirah 2, Dubai 128777 United Arab Emirates,Name/address in local language",Four Seasons Resort Dubai at Jumeirah Beach,,4.5
Excellent,"415, reviews,Agiou Ioannou 133, Stalis, Crete 700 07 Greece,415, reviews,Agiou Ioannou 133, Stalis, Crete 700 07 Greece,Name/address in local language",Hotel Stalis,,4.5
Very good,"1,624, reviews,690 Boul Rene Levesque Est, Quebec City, Quebec G1R 5A8 Canada,1,624, reviews,690 Boul Rene Levesque Est, Quebec City, Quebec G1R 5A8 Canada",Delta Hotels by Marriott Quebec,,4.0
Very good,"769, reviews,1480 Crystal Drive, Arlington, VA 22202,769, reviews,1480 Crystal Drive, Arlington, VA 22202","Crowne Plaza Crystal City-Washington, D.C., an IHG Hotel",,4.0
Very good,"972, reviews,5011 Westheimer at Post Oak, Houston, TX 77056,972, reviews,5011 Westheimer at Post Oak, Houston, TX 77056",The Westin Oaks Houston At The Galleria,,3.5
Excellent,"1,114, reviews,Avenida Malecón Entre 1Era Y Calle D, Havana 10400 Cuba,1,114, reviews,Avenida Malecón Entre 1Era Y Calle D, Havana 10400 Cuba",Hotel Grand Aston La Habana,,5.0
Excellent,"6,054, reviews,C/Lanzarote N. 9, 35580 Playa Blanca, Lanzarote Spain,6,054, reviews,C/Lanzarote N. 9, 35580 Playa Blanca, Lanzarote Spain,Name/address in local language",Hipotels Natura Palace,,4.5
Excellent,"2,078, reviews,1100 5th Ave, Seattle, WA 98101,2,078, reviews,1100 5th Ave, Seattle, WA 98101",Kimpton Hotel Vintage Seattle,,4.5
Excellent,"1,584, reviews,92, 92/1 Moo 3 Ban Na Tai, Nai Yang, Sakhu, Phuket 83110 Thailand,1,584, reviews,92, 92/1 Moo 3 Ban Na Tai, Nai Yang, Sakhu, Phuket 83110 Thailand,Name/address in local language","Phuket Marriott Resort and Spa, Nai Yang Beach",,4.5
Excellent,"4,477, reviews,20 E Delaware Place, Chicago, IL 60611-4938,4,477, reviews,20 E Delaware Place, Chicago, IL 60611-4938",The Talbott Hotel,,4.5
Very good,"196, reviews,5375 Kyle Canyon Rd, Mount Charleston, NV 89124-9234,196, reviews,5375 Kyle Canyon Rd, Mount Charleston, NV 89124-9234",Mt. Charleston Cabins,,4.0
Average,"25, reviews,Arghassi, Argassi 291 00 Greece,25, reviews,Arghassi, Argassi 291 00 Greece,Name/address in local language",Hotel Levante,,2.5
Very good,"2,153, reviews,1956 Ala Moana Blvd, Honolulu, Oahu, HI 96815-1897,2,153, reviews,1956 Ala Moana Blvd, Honolulu, Oahu, HI 96815-1897",DoubleTree by Hilton Alana - Waikiki Beach,,4.0
Excellent,"2,163, reviews,1300 Westhaven Drive, Vail, CO 81657,2,163, reviews,1300 Westhaven Drive, Vail, CO 81657",Grand Hyatt Vail,,4.5
Excellent,"248, reviews,33000 Overseas Highway, Big Pine Key, FL 33043,248, reviews,33000 Overseas Highway, Big Pine Key, FL 33043",Big Pine Key Resort,,4.5
Very good,"948, reviews,Level 3 Departure Transit Zone Terminal 1 Singapore Changi Airport, Singapore 819642 Singapore,948, reviews,Level 3 Departure Transit Zone Terminal 1 Singapore Changi Airport, Singapore 819642 Singapore",Aerotel Singapore,,4.0
Excellent,"365, reviews,10 Road of Vines, Travelers Rest, SC 29690-7718,365, reviews,10 Road of Vines, Travelers Rest, SC 29690-7718",Hotel Domestique,,4.5
Excellent,"3,189, reviews,106 Sogong-Ro, Jung-Gu Jung-Gu, Seoul 04533 South Korea,3,189, reviews,106 Sogong-Ro, Jung-Gu Jung-Gu, Seoul 04533 South Korea,Name/address in local language",The Westin Josun Seoul,,4.5
Excellent,"1,984, reviews,Via Volturno 48, 00185 Rome Italy,1,984, reviews,Via Volturno 48, 00185 Rome Italy,Name/address in local language",The Independent Hotel,,4.5
Very good,"25,376, reviews,3850 S Las Vegas Blvd, Las Vegas, NV 89109-4300,25,376, reviews,3850 S Las Vegas Blvd, Las Vegas, NV 89109-4300",Excalibur Hotel & Casino,,3.5
Excellent,"2,426, reviews,Calle Guerrero SM1 Mza 17 Playa Norte, Centro, Isla Mujeres 77400 Mexico,2,426, reviews,Calle Guerrero SM1 Mza 17 Playa Norte, Centro, Isla Mujeres 77400 Mexico,Name/address in local language",Ixchel Beach Hotel,,4.5
Very good,"2,326, reviews,Carrer De Còrsega, 373, 08037 Barcelona Spain,2,326, reviews,Carrer De Còrsega, 373, 08037 Barcelona Spain,Name/address in local language",Generator Barcelona,,4.0
Very good,"816, reviews,191 El. Venizelou Str., Limenas Chersonisou, Hersonissos, Crete 700 14 Greece,816, reviews,191 El. Venizelou Str., Limenas Chersonisou, Hersonissos, Crete 700 14 Greece,Name/address in local language",Golden Beach Hotel,,4.0
Excellent,"5,485, reviews,188 Silom Road, Bangkok 10500 Thailand,5,485, reviews,188 Silom Road, Bangkok 10500 Thailand,Name/address in local language",Pullman Bangkok Hotel G,,4.5
Very good,"981, reviews,Wellington Hall 71 Vincent Square, London SW1P 2PA England,981, reviews,Wellington Hall 71 Vincent Square, London SW1P 2PA England",The Wellington by Blue Orchid,,4.0
Excellent,"3,282, reviews,Jumeirah Road Umm Suqeim 3, Dubai 75157 United Arab Emirates,3,282, reviews,Jumeirah Road Umm Suqeim 3, Dubai 75157 United Arab Emirates,Name/address in local language",Jumeirah Al Naseem,,4.5
Excellent,"354, reviews,Brussels Street, Kolimbia 851 03 Greece,354, reviews,Brussels Street, Kolimbia 851 03 Greece,Name/address in local language",Atlantica Aegean Park,,4.5
Excellent,"2,543, reviews,99/9 Moo 4, Lamai Beach, Maret 84310 Thailand,2,543, reviews,99/9 Moo 4, Lamai Beach, Maret 84310 Thailand,Name/address in local language",Banyan Tree Samui,,5.0
Excellent,"549, reviews,68317 Sr-410, Crystal Mountain, Mount Rainier National Park, WA 98022,549, reviews,68317 Sr-410, Crystal Mountain, Mount Rainier National Park, WA 98022",LOGE Alta Crystal,,4.5
Very good,"1,613, reviews,921 W. Pender Street, Vancouver, British Columbia V6C 1M2 Canada,1,613, reviews,921 W. Pender Street, Vancouver, British Columbia V6C 1M2 Canada",Days Inn by Wyndham Vancouver Downtown,,3.5
Very good,"385, reviews,200 Creekside Rd, Branson, MO 65616,385, reviews,200 Creekside Rd, Branson, MO 65616",The Falls Village,,4.0
Very good,"2,052, reviews,4000 W Flamingo Rd, Las Vegas, NV 89103,2,052, reviews,4000 W Flamingo Rd, Las Vegas, NV 89103",Gold Coast Hotel and Casino - Las Vegas,,4.0
Excellent,"2,705, reviews,218/2-3, Moo 10, Beach Road, Pattaya 20260 Thailand,2,705, reviews,218/2-3, Moo 10, Beach Road, Pattaya 20260 Thailand,Name/address in local language",Avani Pattaya Resort,,4.5
Excellent,"1,544, reviews,Malindi Road, Bamburi, Mombasa 80101 Kenya,1,544, reviews,Malindi Road, Bamburi, Mombasa 80101 Kenya",Travellers Beach Hotel & Club,,4.5
Excellent,"874, reviews,Al Zorah, Al Itihad Road, Ajman United Arab Emirates,874, reviews,Al Zorah, Al Itihad Road, Ajman United Arab Emirates,Name/address in local language","The Oberoi Beach Resort, Al Zorah",,5.0
Excellent,"2,378, reviews,1247 Smallman St, Pittsburgh, PA 15222-4239,2,378, reviews,1247 Smallman St, Pittsburgh, PA 15222-4239",Hampton Inn & Suites Pittsburgh-Downtown,,4.5
Excellent,"299, reviews,Plage de la Bouillabaisse, 83990, Saint-Tropez France,299, reviews,Plage de la Bouillabaisse, 83990, Saint-Tropez France,Name/address in local language",Cheval Blanc St-Tropez,,4.5
Excellent,"1,973, reviews,1515 Rhode Island Ave NW, Washington DC, DC 20005,1,973, reviews,1515 Rhode Island Ave NW, Washington DC, DC 20005",The Darcy Hotel,,4.5
Very good,"340, reviews,162 E Ontario St, Chicago, IL 60611-2809,340, reviews,162 E Ontario St, Chicago, IL 60611-2809",Hotel Saint Clair- Magnificent Mile,,4.0
Very good,"8,143, reviews,Route Fes, Km 6, Marrakech 40070 Morocco,8,143, reviews,Route Fes, Km 6, Marrakech 40070 Morocco",Hotel Riu Tikida Palmeraie,,4.0
Excellent,"3,276, reviews,Furanafushi Island, 08240,3,276, reviews,Furanafushi Island, 08240",Sheraton Maldives Full Moon Resort & Spa,,4.5
Excellent,"3,256, reviews,Al Jaddaf Jaddaf Waterfront, Dubai United Arab Emirates,3,256, reviews,Al Jaddaf Jaddaf Waterfront, Dubai United Arab Emirates,Name/address in local language",Palazzo Versace Dubai,,4.5
Excellent,"91, reviews,Tv. Glória 22, Lisbon 1250-118 Portugal,91, reviews,Tv. Glória 22, Lisbon 1250-118 Portugal,Name/address in local language",Hotel Hotel,,5.0
Excellent,"4,176, reviews,23 Ocean Ln, Hilton Head, SC 29928,4,176, reviews,23 Ocean Ln, Hilton Head, SC 29928",Omni Hilton Head Oceanfront Resort,,4.5
,"350 Market Street, Saint Paul, MN 55102",,,
Excellent,"595, reviews,1000 1st Avenue, Seattle, WA 98104,595, reviews,1000 1st Avenue, Seattle, WA 98104","Hotel 1000, LXR Hotels & Resorts",,4.5
Very good,"346, reviews,Bergwelt 4, Grindelwald 3818 Switzerland,346, reviews,Bergwelt 4, Grindelwald 3818 Switzerland,Name/address in local language",BERGWELT GRINDELWALD - ALPINE DESIGN RESORT,,4.0
Excellent,"5,181, reviews,4 Sukhumvit Road, Soi 2 Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110 Thailand,5,181, reviews,4 Sukhumvit Road, Soi 2 Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110 Thailand,Name/address in local language",JW Marriott Hotel Bangkok,,4.5
Very good,"3,081, reviews,3601 Ironbound Road, Williamsburg, VA 23188,3,081, reviews,3601 Ironbound Road, Williamsburg, VA 23188",Hilton Vacation Club The Historic Powhatan Williamsburg,,3.5
Excellent,"1,179, reviews,Kemerağzı Mahallesi, 1018. Sokak No: 6, Aksu, Antalya 07300 Türkiye,1,179, reviews,Kemerağzı Mahallesi, 1018. Sokak No: 6, Aksu, Antalya 07300 Türkiye,Name/address in local language",Greenwood Suites Resort,,4.5
Excellent,"1, review,Swat Pakistan,1, review,Swat Pakistan",Gabeen Jabba Camping Pods,,5.0
Very good,"670, reviews,615 E Huron St, Ann Arbor, MI 48104-1524,670, reviews,615 E Huron St, Ann Arbor, MI 48104-1524",Graduate Ann Arbor,,4.0
Very good,"2,952, reviews,321 West Bay Street, Savannah, GA 31401,2,952, reviews,321 West Bay Street, Savannah, GA 31401",Hilton Garden Inn Savannah Historic District,,4.0
Very good,"848, reviews,BP 196 Zone Touristique Mahdia, Mahdia 5110 Tunisia,848, reviews,BP 196 Zone Touristique Mahdia, Mahdia 5110 Tunisia",Caribbean World Mahdia,,3.5
Excellent,"1,355, reviews,2001 Park Ave, Park City, UT 84060-5157,1,355, reviews,2001 Park Ave, Park City, UT 84060-5157","Hotel Park City, Autograph Collection",,4.5
Excellent,"727, reviews,Fari Islands, Male 20013,727, reviews,Fari Islands, Male 20013","The Ritz-Carlton Maldives, Fari Islands",,5.0
Excellent,"2,616, reviews,425 North Point Street, San Francisco, CA 94133,2,616, reviews,425 North Point Street, San Francisco, CA 94133",Hotel Zoe Fisherman's Wharf,,4.5
Excellent,"791, reviews,Old Road Old Road, Saint Mary&#39;s Antigua,791, reviews,Old Road Old Road, Saint Mary's Antigua",Curtain Bluff,,5.0
Very good,"520, reviews,301 Otter Crest Loop, Otter Rock, OR 97369-9707,520, reviews,301 Otter Crest Loop, Otter Rock, OR 97369-9707",Inn at Otter Crest,,4.0
Excellent,"404, reviews,46677 NC Hwy 12 PO Box 39, Buxton, Hatteras Island, NC 27920,404, reviews,46677 NC Hwy 12 PO Box 39, Buxton, Hatteras Island, NC 27920",Lighthouse View Oceanfront Lodging,,4.5
Very good,"460, reviews,36 Main St, Essex, CT 06426-1132,460, reviews,36 Main St, Essex, CT 06426-1132",The Griswold Inn,,4.0
Excellent,"2,053, reviews,San Marco 1332 - 30124, 30100 Venice Italy,2,053, reviews,San Marco 1332 - 30124, 30100 Venice Italy,Name/address in local language",Hotel Monaco & Grand Canal,,4.5
Very good,"1,921, reviews,10 Chalermphrakiat Road, Patong, Kathu, Phuket 83150 Thailand,1,921, reviews,10 Chalermphrakiat Road, Patong, Kathu, Phuket 83150 Thailand,Name/address in local language",ibis Phuket Patong,,4.0
Excellent,"1,239, reviews,6623 Al Shohadaa Eastern Ring Road, Riyadh 13241–2892 Saudi Arabia,1,239, reviews,6623 Al Shohadaa Eastern Ring Road, Riyadh 13241–2892 Saudi Arabia",Hilton Riyadh Hotel & Residences,,4.5
Very good,"881, reviews,Emmanouil Tsagkaraki Str., Malia, Crete 70007 Greece,881, reviews,Emmanouil Tsagkaraki Str., Malia, Crete 70007 Greece,Name/address in local language",Sirens Hotels Beach & Village,,4.0
Very good,"6,499, reviews,15 Us-50, Stateline, NV 89449,6,499, reviews,15 Us-50, Stateline, NV 89449",Harrah's Lake Tahoe,,4.0
Excellent,"7,497, reviews,Rose Hall Road, Rose Hall, Montego Bay Jamaica,7,497, reviews,Rose Hall Road, Rose Hall, Montego Bay Jamaica",Hyatt Zilara Rose Hall,,4.5
Excellent,"1,141, reviews,475 N Coast Hwy, Laguna Beach, CA 92651-1629,1,141, reviews,475 N Coast Hwy, Laguna Beach, CA 92651-1629",Laguna Beach House,,4.5
Excellent,"260, reviews,Queen's Highway, Governor's Harbour Eleuthera,260, reviews,Queen's Highway, Governor's Harbour Eleuthera","French Leave Resort, Autograph Collection",,4.5
Very good,"6,336, reviews,Aldwych, London WC2B 4DD England,6,336, reviews,Aldwych, London WC2B 4DD England","The Waldorf Hilton, London",,4.0
Very good,"1,007, reviews,Loc. Sos Aranzos, 07020, Golfo Aranci, Sardinia Italy,1,007, reviews,Loc. Sos Aranzos, 07020, Golfo Aranci, Sardinia Italy,Name/address in local language",Voi Colonna Village,,4.0
Very good,"9, reviews,4721 E County Highway 30A, Santa Rosa Beach, FL 32459-6533,9, reviews,4721 E County Highway 30A, Santa Rosa Beach, FL 32459-6533",The Lodge 30A,,3.5
Excellent,"570, reviews,9101 Atlantic Ave, Wildwood Crest, NJ 08260-3407,570, reviews,9101 Atlantic Ave, Wildwood Crest, NJ 08260-3407",Acacia Beachfront Resort,,4.5
Excellent,"23, reviews,9066 Firestone Boulevard, Downey, CA 90241,23, reviews,9066 Firestone Boulevard, Downey, CA 90241",SpringHill Suites by Marriott Los Angeles Downey,,4.5
Excellent,"1,295, reviews,68 E Wacker Pl, Chicago, IL 60601,1,295, reviews,68 E Wacker Pl, Chicago, IL 60601",Hampton Inn Chicago Downtown/N Loop/Michigan Ave,,4.5
Very good,"5,061, reviews,Bonn 6 Rincon de Loix de Benidom, 03503 Benidorm Spain,5,061, reviews,Bonn 6 Rincon de Loix de Benidom, 03503 Benidorm Spain,Name/address in local language",Magic Aqua Rock Gardens,,4.0
Very good,"275, reviews,10811 Termini San Luis Pass Rd, Galveston, Galveston Island, TX 77554-8772,275, reviews,10811 Termini San Luis Pass Rd, Galveston, Galveston Island, TX 77554-8772",Seascape Condominium Rentals,,3.5
Very good,"656, reviews,Nissi Avenue 112, Ayia Napa 5330 Cyprus,656, reviews,Nissi Avenue 112, Ayia Napa 5330 Cyprus",Christofinia Hotel Cyprus,,4.0
Excellent,"924, reviews,Urbanización Antalaya de Canyamel, Vial A, 12, 07589 Canyamel, Capdepera, Majorca Spain,924, reviews,Urbanización Antalaya de Canyamel, Vial A, 12, 07589 Canyamel, Capdepera, Majorca Spain,Name/address in local language",Cap Vermell Grand Hotel,,4.5
Very good,"915, reviews,Jl. Bakung Sari No. 81, Kuta 80361 Indonesia,915, reviews,Jl. Bakung Sari No. 81, Kuta 80361 Indonesia",Kuta Beach Club Hotel,,4.0
Excellent,"40, reviews,6785 Brown Mountain Beach Rd, Lenoir, NC 28645-9773,40, reviews,6785 Brown Mountain Beach Rd, Lenoir, NC 28645-9773",Brown Mountain Beach Resort,,4.5
Excellent,"9,846, reviews,Paradise Island Resort & Spa, 08420,9,846, reviews,Paradise Island Resort & Spa, 08420","Villa Nautica, Maldives",,4.5
