categorias,direccion,nombre,precio,score
Very good,"45, reviews,111 East 24th Street, New York City, NY 10010-2907,45, reviews,111 East 24th Street, New York City, NY 10010-2907",SpringHill Suites New York Midtown Manhattan/Park Avenue,,3.5
Excellent,"270, reviews,1 Vandon Street Westminster, London SW1H 0AE England,270, reviews,1 Vandon Street Westminster, London SW1H 0AE England",The Guardsman,,5.0
Excellent,"1,074, reviews,30 John Islip Street, London SW1P 4DD England,1,074, reviews,30 John Islip Street, London SW1P 4DD England","The Westminster London, Curio Collection by Hilton",,4.5
Very good,"656, reviews,Dayilar Sokak No:5, Gumbet 48400 Türkiye,656, reviews,Dayilar Sokak No:5, Gumbet 48400 Türkiye,Name/address in local language",Anadolu Hotel Bodrum,,4.0
Very good,"94, reviews,333 Blue Star Hwy PO Box 894, Douglas, MI 49406-5281,94, reviews,333 Blue Star Hwy PO Box 894, Douglas, MI 49406-5281",The Dunes Resort,,4.0
Very good,"2,283, reviews,Marmari 85300 Greece,2,283, reviews,Marmari 85300 Greece,Name/address in local language",E∙GEO Easy Living Resort,,4.0
Very good,"266, reviews,17700 Collins Avenue, Sunny Isles Beach, FL 33160,266, reviews,17700 Collins Avenue, Sunny Isles Beach, FL 33160",Residence Inn by Marriott Miami Sunny Isles Beach,,3.5
Very good,"1,584, reviews,411 E. Palm Canyon Dr., Palm Springs, Greater Palm Springs, CA 92264-2549,1,584, reviews,411 E. Palm Canyon Dr., Palm Springs, Greater Palm Springs, CA 92264-2549",Caliente Tropics Resort,,4.0
Very good,"1,051, reviews,4375 Admiralty Way, Marina del Rey, CA 90292-5434,1,051, reviews,4375 Admiralty Way, Marina del Rey, CA 90292-5434","The Ritz-Carlton, Marina del Rey",,4.0
Excellent,"403, reviews,Petit St Vincent Island, St Vincent and the Grenadines Petit St.Vincent,403, reviews,Petit St Vincent Island, St Vincent and the Grenadines Petit St.Vincent",Petit St. Vincent Resort,,4.5
Excellent,"1,159, reviews,Horizon Avenue, Dubai 119444 United Arab Emirates,1,159, reviews,Horizon Avenue, Dubai 119444 United Arab Emirates,Name/address in local language",Rove Expo City,,5.0
Average,"15, reviews,Evliya Celebi Mahallesi Simal Sokak 14, Istanbul 34500 Türkiye,15, reviews,Evliya Celebi Mahallesi Simal Sokak 14, Istanbul 34500 Türkiye,Name/address in local language",Dora Pera Hotel,,3.0
